"uni","t","qC","pC"
"cvar","2005",254.541065199024,0.908998760492283
"cvar","2006",263.615395426976,0.922986924226708
"cvar","2007",273.218948787989,0.936002896934332
"cvar","2008",272.140471374773,0.967317019718924
"cvar","2009",264.143064135332,0.966634873597249
"cvar","2010",264.300894723082,0.97096337572765
"cvar","2011",261.974323497521,0.99035367669454
"cvar","2012",264.449395004589,1.01345956999248
"cvar","2013",268.474144116153,1.00924304394416
"cvar","2014",271.815769007131,1.00124627714412
"cvar","2015",278.226458525579,1.00629119556538
"cvar","2016",290.495485371611,1.00152210567918
"cvar","2017",300.482499121343,1.00492858199772
"cvar","2018",314.563473537741,0.994002383614581
"cvar","2019",319.37954326008,0.998212571609018
"cvar","2020",359.15105862,1
"cvar","2021",385.251161748282,1.00239396922193
"cvar","2022",350.205708468333,1.06700755554879
"cvar","2023",315.044981412607,1.11564134199749
"cvar","2024",314.967939215608,1.11818184521282
"cvar","2025",320.144748753917,1.15187968950389
"ctje","1967",118.551700133061,0.114992038097182
"ctje","1968",122.527093638105,0.121706861850808
"ctje","1969",128.295411064965,0.128617488633685
"ctje","1970",131.905391936587,0.139177323029498
"ctje","1971",134.040018318231,0.148948478689806
"ctje","1972",133.168383895898,0.162794483756947
"ctje","1973",137.541613560517,0.179405094022635
"ctje","1974",135.62349289737,0.206383000756825
"ctje","1975",139.456928653547,0.231973604949578
"ctje","1976",146.692268634357,0.251240083567009
"ctje","1977",150.502206879896,0.275323482880236
"ctje","1978",154.992488242162,0.298820448863032
"ctje","1979",160.042146937163,0.325556049896148
"ctje","1980",158.355691670367,0.355601125947593
"ctje","1981",156.951063337521,0.397209307769397
"ctje","1982",156.975779436898,0.444117805101176
"ctje","1983",161.823409692201,0.478177932949287
"ctje","1984",171.25236778768,0.506020159394583
"ctje","1985",178.134055864514,0.525936152632594
"ctje","1986",192.790915980813,0.532266768642601
"ctje","1987",192.59988578825,0.563456425576837
"ctje","1988",202.965203303405,0.580281592624578
"ctje","1989",212.371633257237,0.606400348276855
"ctje","1990",214.447189405843,0.608767762845889
"ctje","1991",219.822658921033,0.62978150747689
"ctje","1992",229.058313045286,0.637281633018722
"ctje","1993",224.106878819951,0.650095683309881
"ctje","1994",236.961716447356,0.668570307059015
"ctje","1995",237.35034963238,0.685344414148974
"ctje","1996",241.393867791039,0.694075306426118
"ctje","1997",251.204630005635,0.706024413577894
"ctje","1998",260.798086204716,0.719089363211721
"ctje","1999",263.149155822273,0.731229317225852
"ctje","2000",268.778496761273,0.752460424919215
"ctje","2001",269.781930482952,0.773257581268091
"ctje","2002",269.838630735017,0.782697747925869
"ctje","2003",276.373011324404,0.795044710427569
"ctje","2004",291.350068853432,0.803005241600319
"ctje","2005",306.02706446902,0.810276432970916
"ctje","2006",315.250470892439,0.826376925258575
"ctje","2007",323.033444437327,0.83844503984784
"ctje","2008",334.135269856034,0.857490972126907
"ctje","2009",316.023107066634,0.882845795668885
"ctje","2010",316.299074173915,0.899896622061771
"ctje","2011",323.063241729638,0.908398071284833
"ctje","2012",322.910102922947,0.923702943790342
"ctje","2013",323.003172102962,0.931163669974669
